id,date,time,na,na1,time_fraction,arrive
208,2019/04/22,8:08,8.13,0.3388888889,0.3388888889,1
209,2019/04/22,8:08,8.13,0.3388888889,0.3388888889,1
210,2019/04/22,8:08,8.13,0.3388888889,0.3388888889,1
211,2019/04/22,8:11,8.18,0.3409722222,0.3409722222,1
212,2019/04/22,8:12,8.20,0.3416666667,0.3416666667,1
213,2019/04/22,8:14,8.23,0.3430555556,0.3430555556,1
214,2019/04/22,8:14,8.23,0.3430555556,0.3430555556,1
215,2019/04/22,8:15,8.25,0.34375,0.34375,1
216,2019/04/22,8:15,8.25,0.34375,0.34375,1
217,2019/04/22,8:17,8.28,0.3451388889,0.3451388889,1
218,2019/04/22,8:17,8.28,0.3451388889,0.3451388889,1
219,2019/04/22,8:17,8.28,0.3451388889,0.3451388889,1
220,2019/04/22,8:18,8.30,0.3458333333,0.3458333333,1
221,2019/04/22,8:18,8.30,0.3458333333,0.3458333333,1
222,2019/04/22,8:19,8.32,0.3465277778,0.3465277778,1
223,2019/04/22,8:20,8.33,0.3472222222,0.3472222222,1
224,2019/04/22,8:20,8.33,0.3472222222,0.3472222222,1
225,2019/04/22,8:20,8.33,0.3472222222,0.3472222222,1
226,2019/04/22,8:22,8.37,0.3486111111,0.3486111111,1
227,2019/04/22,8:24,8.40,0.35,0.35,1
228,2019/04/22,8:24,8.40,0.35,0.35,1
229,2019/04/22,8:25,8.42,0.3506944444,0.3506944444,1
230,2019/04/22,8:25,8.42,0.3506944444,0.3506944444,1
231,2019/04/22,8:27,8.45,0.3520833333,0.3520833333,1
232,2019/04/22,8:29,8.48,0.3534722222,0.3534722222,1
233,2019/04/22,8:30,8.50,0.3541666667,0.3541666667,1
234,2019/04/22,8:30,8.50,0.3541666667,0.3541666667,0
235,2019/04/22,8:30,8.50,0.3541666667,0.3541666667,0
236,2019/04/22,8:30,8.50,0.3541666667,0.3541666667,1
237,2019/04/22,8:31,8.52,0.3548611111,0.3548611111,1
238,2019/04/22,8:31,8.52,0.3548611111,0.3548611111,1
239,2019/04/22,8:31,8.52,0.3548611111,0.3548611111,1
240,2019/04/22,8:32,8.53,0.3555555556,0.3555555556,1
241,2019/04/22,8:32,8.53,0.3555555556,0.3555555556,1
242,2019/04/22,8:33,8.55,0.35625,0.35625,1
243,2019/04/22,8:34,8.57,0.3569444444,0.3569444444,1
244,2019/04/22,8:34,8.57,0.3569444444,0.3569444444,1
245,2019/04/22,8:34,8.57,0.3569444444,0.3569444444,1
246,2019/04/22,8:35,8.58,0.3576388889,0.3576388889,1
247,2019/04/22,8:35,8.58,0.3576388889,0.3576388889,1
248,2019/04/22,8:35,8.58,0.3576388889,0.3576388889,1
249,2019/04/22,8:36,8.60,0.3583333333,0.3583333333,1
250,2019/04/22,8:36,8.60,0.3583333333,0.3583333333,1
251,2019/04/22,8:36,8.60,0.3583333333,0.3583333333,1
252,2019/04/22,8:38,8.63,0.3597222222,0.3597222222,1
253,2019/04/22,8:39,8.65,0.3604166667,0.3604166667,1
254,2019/04/22,8:39,8.65,0.3604166667,0.3604166667,1
